Compound,count
Z1102039092,14
Z1102042931,14
Z1102048071,14
Z1102084906,14
Z1102101581,14
Z1102125466,14
Z1102140042,14
Z1102168273,14
Z1102195085,14
Z1102217958,14
Z1102729047,14
Z1102776919,14
Z1102778638,14
Z1102956829,14
Z1102995955,14
Z1103016845,14
Z1103019299,14
Z1103027546,14
Z1103240935,14
Z1103445602,14
Z1103495102,14
Z1103628900,14
Z1103754970,14
Z1103934844,14
Z1104874933,14
Z1104877216,14
Z1105517458,14
Z1105523659,14
Z1105573592,14
Z1114250183,14
Z111456588,14
Z1116204923,14
Z1116419565,14
Z1116577067,14
Z1116579620,14
Z1116579630,14
Z1116583006,14
Z1116584823,14
Z1116610044,14
Z1116661665,14
Z1116664155,14
Z1116706150,14
Z1116820707,14
Z1116830835,14
Z1116849884,14
Z111686122,14
Z1117171565,14
Z1117198248,14
Z1117742402,14
Z1117742406,14
Z1117742418,14
Z1117742421,14
Z1117743060,14
Z1117745305,14
Z1117755686,14
Z1117758392,14
Z1117782504,14
Z1117782601,14
Z1117785089,14
Z1117790361,14
Z1117862843,14
Z1118554974,14
Z1118558297,14
Z1118558799,14
Z1118560647,14
Z1118562353,14
Z1118627767,14
Z1118833828,14
Z1118944335,14
Z1118963724,14
Z1119042864,14
Z1119225462,14
Z1119366537,14
Z1119396043,14
Z1119699375,14
Z1119701104,14
Z1119707878,14
Z1119719380,14
Z1119720734,14
Z1119721573,14
Z1119721714,14
Z1119721971,14
Z1119740786,14
Z1119752046,14
Z1119754899,14
Z1120816183,14
Z1120842079,14
Z1120941422,14
Z1121486343,14
Z1121487243,14
Z1121487468,14
Z1121487804,14
Z1121488999,14
Z1121523850,14
Z112180188,14
Z1121848362,14
Z112209834,14
Z1122129034,14
Z112323276,14
Z1123356266,14
Z1123356275,14
Z1123404525,14
Z1123443896,14
Z1123487119,14
Z1123492593,14
Z1123807494,14
Z1123859708,14
Z1123864518,14
Z1123936041,14
Z1123940946,14
Z1123947456,14
Z1124005692,14
Z1124009942,14
Z1124021139,14
Z1124033750,14
Z1124037743,14
Z1124041726,14
Z1124046859,14
Z1124088714,14
Z1124089171,14
Z1124091113,14
Z1124092384,14
Z1124096649,14
Z1124096989,14
Z1124097372,14
Z1124097561,14
Z1124133946,14
Z1124155085,14
Z1124160242,14
Z1124161878,14
Z1124162308,14
Z1124162399,14
Z1124162470,14
Z1124162944,14
Z1124163740,14
Z112419070,14
Z1124197179,14
Z1124199717,14
Z1124216917,14
Z1124275329,14
Z1124317812,14
Z1124453368,14
Z1124501554,14
Z1124515138,14
Z1124625480,14
Z1124672739,14
Z1124716871,14
Z112612058,14
Z1126156942,14
Z1126203195,14
Z1126203451,14
Z1126203758,14
Z1126750432,14
Z1126762890,14
Z1126763341,14
Z1126763901,14
Z1126765291,14
Z1126765452,14
Z1126767148,14
Z1126768029,14
Z1126768493,14
Z1126769592,14
Z1126769659,14
Z1126769778,14
Z1126769792,14
Z1126769956,14
Z1126770270,14
Z1126770441,14
Z1126770879,14
Z1126785811,14
Z1126823776,14
Z1126824031,14
Z1126825573,14
Z1126828231,14
Z1126828768,14
Z1126830523,14
Z1126831640,14
Z1126836028,14
Z1126838817,14
Z1126859326,14
Z1126890772,14
Z1126890898,14
Z1126891426,14
Z1126891450,14
Z1126931254,14
Z1126948889,14
Z1126978273,14
Z1127000603,14
Z1127027134,14
Z1127028025,14
Z1127047293,14
Z1127048014,14
Z1127068731,14
Z1127071211,14
Z1127072426,14
Z1127092139,14
Z1127092526,14
Z1127093801,14
Z1127101062,14
Z1127101967,14
Z1127103044,14
Z1127109877,14
Z1127117347,14
Z1127122320,14
Z1127122987,14
Z1127123044,14
Z1127123951,14
Z1127124090,14
Z1127124641,14
Z1127125411,14
Z1127133694,14
Z1127138572,14
Z1127138691,14
Z1127139372,14
Z1127145357,14
Z1127167139,14
Z1127178074,14
Z1127181956,14
Z1127182252,14
Z1127185007,14
Z1127187438,14
Z1127187643,14
Z1127188532,14
Z1127188664,14
Z1127188754,14
Z1127188777,14
Z1127193239,14
Z1127193421,14
Z1127201889,14
Z1127202853,14
Z1127219540,14
Z1127278558,14
Z1127650494,14
Z112768600,14
Z1127783586,14
Z1127795290,14
Z1127842268,14
Z1127856408,14
Z1127856681,14
Z1127859705,14
Z1127867075,14
Z1127893102,14
Z1127903384,14
Z1127907836,14
Z1127922621,14
Z1127922902,14
Z1127928479,14
Z1127984858,14
Z1128051602,14
Z1128053712,14
Z1128091047,14
Z1128099736,14
Z1128144453,14
Z1128144468,14
Z1128154182,14
Z1128160620,14
Z1128203914,14
Z1128208166,14
Z1128276578,14
Z1128283688,14
Z1128290370,14
Z1128300288,14
Z1128321154,14
Z1128355273,14
Z1128433957,14
Z1128489216,14
Z1128644351,14
Z1128644366,14
Z1128671622,14
Z1128708004,14
Z1128708015,14
Z1128711290,14
Z1128714742,14
Z1128714937,14
Z1128720153,14
Z1128734609,14
Z1128739464,14
Z1128739511,14
Z1128820289,14
Z1128827176,14
Z1128827478,14
Z1128831729,14
Z1128873999,14
Z1128906940,14
Z1128943233,14
Z1128947719,14
Z1129027487,14
Z1129029731,14
Z1129033979,14
Z1129057287,14
Z1129298602,14
Z1129417093,14
Z1129450605,14
Z1129482267,14
Z1129530302,14
Z1129734898,14
Z1129807184,14
Z1129928432,14
Z1129974954,14
Z1130044430,14
Z1130049455,14
Z1130073185,14
Z1130271160,14
Z1130272989,14
Z1130274241,14
Z1130274647,14
Z1130287239,14
Z1130291201,14
Z1130292634,14
Z1130292931,14
Z1130293714,14
Z1130294626,14
Z1130302401,14
Z1130303422,14
Z1130325605,14
Z1130326129,14
Z1130327464,14
Z1130341830,14
Z1130365746,14
Z1130461894,14
Z113057096,14
Z1130636665,14
Z1130868071,14
Z1130925120,14
Z1130988977,14
Z1131025140,14
Z1131148030,14
Z1131267704,14
Z1131287093,14
Z1131322624,14
Z1131331453,14
Z1131405957,14
Z1131409989,14
Z1131555652,14
Z1131987256,14
Z113229006,14
Z1132319282,14
Z1132678225,14
Z1133057877,14
Z1133376078,14
Z113365482,14
Z1133712747,14
Z1134133832,14
Z1134133852,14
Z1134139835,14
Z1134146794,14
Z1134146872,14
Z1134147657,14
Z1134149058,14
Z1134191456,14
Z1134191825,14
Z1134222585,14
Z1134293299,14
Z1134293642,14
Z1134293646,14
Z1134294067,14
Z1134294199,14
Z1134294435,14
Z1134294703,14
Z1134294845,14
Z113429872,14
Z1134899793,14
Z1134904818,14
Z1134907112,14
Z1134917796,14
Z1134930737,14
Z1135082678,14
Z1135082718,14
Z1135117445,14
Z1135159887,14
Z1135186698,14
Z1135210160,14
Z1135224987,14
Z1135282847,14
Z1135599399,14
Z1135773313,14
Z1136136456,14
Z1136137800,14
Z113634016,14
Z1136352156,14
Z1136353713,14
Z1136357546,14
Z1136357809,14
Z1136358856,14
Z1136362952,14
Z1136365088,14
Z1136366119,14
Z1136383514,14
Z1136384074,14
Z1136390781,14
Z1136407584,14
Z1136407860,14
Z1136408160,14
Z1136408782,14
Z1136410258,14
Z1136410291,14
Z1136410386,14
Z1136410416,14
Z1136410989,14
Z1136411040,14
Z1137185117,14
Z1137248767,14
Z1137282951,14
Z1137292605,14
Z1137315435,14
Z1137324688,14
Z1137562397,14
Z1137595747,14
Z1137675413,14
Z1137698316,14
Z1137739007,14
Z1138228930,14
Z113831224,14
Z113831914,14
Z1138365055,14
Z1138365914,14
Z1138366124,14
Z1138366232,14
Z1138367091,14
Z1138367103,14
Z1138367129,14
Z1138367146,14
Z1138367853,14
Z1138368260,14
Z1138368584,14
Z1138369367,14
Z1138369392,14
Z1138371112,14
Z1138372736,14
Z1138372790,14
Z1138372791,14
Z1138372796,14
Z1138399481,14
Z1138404789,14
Z1138412154,14
Z1138416032,14
Z1138418008,14
Z1138421655,14
Z1138430112,14
Z1138432466,14
Z1138433898,14
Z1138433922,14
Z1138436474,14
Z1138436715,14
Z1138436901,14
Z1138437990,14
Z1138438270,14
Z1138438853,14
Z1138439021,14
Z1138439528,14
Z1138441323,14
Z1138442715,14
Z1138442880,14
Z1138443953,14
Z1138448319,14
Z1138469188,14
Z113857118,14
Z1138600240,14
Z1138600305,14
Z1138600387,14
Z1138600389,14
Z1138600407,14
Z1138600409,14
Z1138600464,14
Z1138600587,14
Z1138600589,14
Z1138600650,14
Z1138601217,14
Z1138601225,14
Z1138601626,14
Z1138601694,14
Z1138601736,14
Z1138601763,14
Z1138601812,14
Z1138601836,14
Z1138601899,14
Z1138602004,14
Z1138602519,14
Z1138602831,14
Z1138603047,14
Z1138830520,14
Z1139195973,14
Z1139210544,14
Z1139214007,14
Z1139215193,14
Z1139215230,14
Z1139215540,14
Z1139222003,14
Z1139231298,14
Z1139232364,14
Z1139233206,14
Z1139247967,14
Z1139263488,14
Z1139263632,14
Z1139265407,14
Z1139274385,14
Z1139275042,14
Z1139277774,14
Z1139280568,14
Z1139284021,14
Z1139285296,14
Z1139297179,14
Z1139316244,14
Z1139319486,14
Z1139319931,14
Z1139322069,14
Z1139330985,14
Z1139335383,14
Z1139343198,14
Z1139345136,14
Z1139360313,14
Z1139361188,14
Z1139410166,14
Z1139411225,14
Z1139437591,14
Z1139453976,14
Z1139457500,14
Z1139471611,14
Z1139480079,14
Z1139485981,14
Z1139489018,14
Z1139497253,14
Z1139509295,14
Z1139533754,14
Z1139534940,14
Z1139939039,14
Z1139944844,14
Z1140057296,14
Z1140096924,14
Z1140097706,14
Z1140275284,14
Z1140305301,14
Z1140307368,14
Z1140307489,14
Z1140307650,14
Z1140308569,14
Z1140382925,14
Z1140383371,14
Z1140388095,14
Z1140403123,14
Z114093394,14
Z114100846,14
Z1141229891,14
Z1141276427,14
Z1141280298,14
Z1141304998,14
Z1141305011,14
Z1141340181,14
Z1141354448,14
Z1141390288,14
Z1141392405,14
Z114163452,14
Z1141925104,14
Z1141988388,14
Z1141989976,14
Z1142004994,14
Z1142006258,14
Z1142008580,14
Z1142011313,14
Z1142014660,14
Z1142021544,14
Z1142056950,14
Z1142156803,14
Z1142329667,14
Z1142346294,14
Z1142583361,14
Z1142591012,14
Z1142609215,14
Z1142688452,14
Z1142699818,14
Z1142725442,14
Z1142751753,14
Z1142753583,14
Z1142757002,14
Z1142765779,14
Z1142768041,14
Z1142995926,14
Z1142999720,14
Z1143052660,14
Z1143083352,14
Z1143087963,14
Z1143225159,14
Z1143236142,14
Z1143251035,14
Z1143254803,14
Z1143275755,14
Z1143276149,14
Z1143278423,14
Z1143317207,14
Z1143348308,14
Z1143348402,14
Z1143350197,14
Z1143370608,14
Z1143370714,14
Z1143372219,14
Z1143372402,14
Z1143372426,14
Z1143480593,14
Z1143575333,14
Z1143643044,14
Z1143769739,14
Z1143978656,14
Z1144028565,14
Z1144315794,14
Z1144383367,14
Z1144390411,14
Z1144412457,14
Z1144441540,14
Z1144445391,14
Z1144545735,14
Z1144550686,14
Z1144581645,14
Z1144829795,14
Z1144831926,14
Z1144844172,14
Z1144992296,14
Z1144999714,14
Z1145187212,14
Z1145206076,14
Z1145213258,14
Z1145213917,14
Z1145489754,14
Z1145904622,14
Z1146745836,14
Z1146790838,14
Z1146790880,14
Z1146807215,14
Z1146866037,14
Z1146869127,14
Z1146869175,14
Z1147297409,14
Z1147459645,14
Z1147532978,14
Z1147639204,14
Z1147674559,14
Z1147674967,14
Z1147675126,14
Z1147675406,14
Z1147675624,14
Z1147676240,14
Z1147676431,14
Z1147676471,14
Z1147676661,14
Z1147746090,14
Z1147923575,14
Z1147993025,14
Z1148161567,14
Z1148161574,14
Z1148289978,14
Z1148290017,14
Z1148505173,14
Z1148790274,14
Z1148791738,14
Z1148801969,14
Z1148807454,14
Z1148809682,14
Z1148813933,14
Z1148814638,14
Z1148823078,14
Z1148844875,14
Z1148845017,14
Z1148845160,14
Z1148846698,14
Z1148848128,14
Z1148849051,14
Z1148862638,14
Z1148933307,14
Z1148933341,14
Z1148933387,14
Z1149211605,14
Z1149239360,14
Z1149293340,14
Z1149423463,14
Z1149454007,14
Z114986392,14
Z115014014,14
Z1150308463,14
Z1150309469,14
Z1150499101,14
Z115057314,14
Z115074314,14
Z1151048735,14
Z1151048751,14
Z1151106002,14
Z115115216,14
Z1151198456,14
Z1151226815,14
Z1151231175,14
Z1151247261,14
Z1151248013,14
Z1151253068,14
Z1151259075,14
Z1151261189,14
Z1151265909,14
Z1151294864,14
Z1151307775,14
Z1151310882,14
Z1151321758,14
Z1151322683,14
Z1151416491,14
Z1151417105,14
Z1151417741,14
Z1151417821,14
Z115145652,14
Z115146684,14
Z1151502719,14
Z1151506493,14
Z1151519981,14
Z1151551740,14
Z1151567005,14
Z1151617319,14
Z1151623950,14
Z1151811424,14
Z1151818679,14
Z1152072942,14
Z1152073090,14
Z1152074775,14
Z1152075581,14
Z1152088903,14
Z1152147587,14
Z1152172548,14
Z1152173232,14
Z1152174029,14
Z1152182101,14
Z1152199316,14
Z1153336907,14
Z1153600043,14
Z1153689097,14
Z1153689155,14
Z1153746399,14
Z1153770064,14
Z1153770122,14
Z1153771540,14
Z1153772123,14
Z1154375735,14
Z1154379077,14
Z1154380785,14
Z1154415097,14
Z1154415172,14
Z1154418671,14
Z1154575200,14
Z1154670783,14
Z1154673111,14
Z1154673156,14
Z1154673166,14
Z1154673201,14
Z1154673236,14
Z1154673271,14
Z1154673276,14
Z1154683974,14
Z1154692084,14
Z1154773671,14
Z1154774001,14
Z1155003967,14
Z1155036936,14
Z1155060386,14
Z1155067978,14
Z1155086361,14
Z1155087404,14
Z1155111505,14
Z1155218620,14
Z1155274304,14
Z1155320496,14
Z1155326556,14
Z1155358695,14
Z1155395183,14
Z1155408434,14
Z1155457080,14
Z1155540126,14
Z1155672909,14
Z1155674710,14
Z1155697998,14
Z1155798552,14
Z1155803330,14
Z1155803942,14
Z1155855139,14
Z1155855839,14
Z115590808,14
Z1155944308,14
Z1155945965,14
Z1155947282,14
Z1155951743,14
Z1155957570,14
Z1155957795,14
Z1155961261,14
Z115596136,14
Z1155965368,14
Z115601642,14
Z115602374,14
Z115602376,14
Z115602448,14
Z115604414,14
Z115604950,14
Z115607976,14
Z115611368,14
Z1156195719,14
Z115624462,14
Z115629114,14
Z115633318,14
Z115634310,14
Z115639426,14
Z115641972,14
Z115653310,14
Z115656330,14
Z115658542,14
Z115666676,14
Z115667760,14
Z115668384,14
Z115674142,14
Z115677882,14
Z115680430,14
Z115681086,14
Z115682212,14
Z115684424,14
Z1157434950,14
Z1157480361,14
Z1157796074,14
Z1157836727,14
Z1157866379,14
Z1157899954,14
Z1157902490,14
Z1157904660,14
Z1157912132,14
Z1157920199,14
Z1157976654,14
Z1158021626,14
Z1158037364,14
Z1158039585,14
Z1158192091,14
Z1158264476,14
Z1158309037,14
Z1158312371,14
Z1158344577,14
Z1158347342,14
Z1158410878,14
Z1158436130,14
Z1158522751,14
Z1158667870,14
Z1158995049,14
Z1159101269,14
Z1159112221,14
Z1159124238,14
Z1159124740,14
Z1159136662,14
Z1159325189,14
Z1159325903,14
Z1159333948,14
Z1159338421,14
Z1159338475,14
Z1159338541,14
Z1159338558,14
Z1159338565,14
Z1159348359,14
Z1159353080,14
Z1159636897,14
Z1160609972,14
Z1160610255,14
Z1160622640,14
Z1160641759,14
Z1160646624,14
Z1160647742,14
Z1160647919,14
Z1160652093,14
Z1160809272,14
Z1160896379,14
Z1160929455,14
Z1160944624,14
Z1160989100,14
Z1161109976,14
Z1161128930,14
Z1161129520,14
Z1161129634,14
Z1161130923,14
Z1161174891,14
Z1161177491,14
Z1161182991,14
Z1161279429,14
Z1161290127,14
Z1162334052,14
Z1162334059,14
Z1162334060,14
Z1162348617,14
Z1162445751,14
Z1162625853,14
Z1162775174,14
Z1162776716,14
Z1162778886,14
Z116278488,14
Z116288562,14
Z116309962,14
Z116314132,14
Z116314854,14
Z116365714,14
Z116447776,14
Z1165356768,14
Z1165356904,14
Z1165357052,14
Z1165357063,14
Z1165432789,14
Z1165448526,14
Z1165450944,14
Z1165452303,14
Z1165452376,14
Z1165452383,14
Z1165453907,14
Z1165454084,14
Z1165472123,14
Z1165527389,14
Z1165549959,14
Z1165941228,14
Z1165955588,14
Z1165992032,14
Z1166125889,14
Z1166177881,14
Z1166178369,14
Z1166179628,14
Z1166182393,14
Z1166541907,14
Z1166590290,14
Z1166905007,14
Z1166924984,14
Z1166934628,14
Z1167060591,14
Z1167060739,14
Z1167060990,14
Z1167063928,14
Z1167069549,14
Z1167069569,14
Z1167081966,14
Z1167218213,14
Z116723682,14
Z1167298418,14
Z1167302334,14
Z1167360403,14
Z1167384196,14
Z1167424097,14
Z1167447280,14
Z1167545099,14
Z1167640283,14
Z1167728859,14
Z1167758421,14
Z1167894651,14
Z1167914354,14
Z1167982577,14
Z1167984150,14
Z1168037382,14
Z1168045268,14
Z1168119116,14
Z1168163567,14
Z1168163965,14
Z1168167768,14
Z1168175763,14
Z1168190179,14
Z1168225104,14
Z1168228578,14
Z1168232675,14
Z1168243624,14
Z1168281101,14
Z1168281580,14
Z1168366623,14
Z1168370486,14
Z1168372456,14
Z1168372932,14
Z1168374256,14
Z1168380258,14
Z1168383147,14
Z1168390486,14
Z1168395162,14
Z1168403100,14
Z1168410482,14
Z1168411782,14
Z1168415979,14
Z1168416159,14
Z1168416238,14
Z1168475861,14
Z1168479809,14
Z1168493835,14
Z1168496560,14
Z1168508515,14
Z1168512253,14
Z1168522075,14
Z1168527016,14
Z1168550653,14
Z1168551697,14
Z1168579265,14
Z1168582056,14
Z1168583732,14
Z1168585031,14
Z1169024217,14
Z1169380595,14
Z1169575555,14
Z1169594280,14
Z1169621818,14
Z1169623252,14
Z1169623295,14
Z1169623453,14
Z1169624374,14
Z1169624506,14
Z1169626338,14
Z1169636700,14
Z1169640438,14
Z1169821186,14
Z1169907766,14
Z1170088409,14
Z1170091797,14
Z1170141264,14
Z1170147047,14
Z1170149664,14
Z1170160532,14
Z1170238203,14
Z1170244983,14
Z1170264036,14
Z1170279482,14
Z1170280197,14
Z1170280874,14
Z1170281745,14
Z1170432961,14
Z117072692,14
Z1170822585,14
Z1170912320,14
Z1170913053,14
Z1170991905,14
Z1171069079,14
Z1171160807,14
Z1171252217,14
Z1171261784,14
Z1171264671,14
Z1171316070,14
Z1171316093,14
Z1171316435,14
Z1171317126,14
Z1171342126,14
Z1171382371,14
Z1171417968,14
Z1171418112,14
Z1171418984,14
Z1171448174,14
Z1171482936,14
Z1171484734,14
Z1171484999,14
Z1171485779,14
Z1171488422,14
Z1171488704,14
Z1171489539,14
Z1171490306,14
Z1171493635,14
Z1171495599,14
Z1171495991,14
Z1171496178,14
Z1171496324,14
Z1171496820,14
Z1171497998,14
Z1171498777,14
Z1171500326,14
Z1171500722,14
Z1171501092,14
Z1171503593,14
Z1171534867,14
Z1171560928,14
Z1171561752,14
Z1171569117,14
Z1171583542,14
Z1171602855,14
Z1171618005,14
Z1171618239,14
Z1171618525,14
Z1171618819,14
Z1171619165,14
Z1171635678,14
Z1171636013,14
Z1171659666,14
Z1171686120,14
Z1171722194,14
Z1171742956,14
Z1171878626,14
Z1171946382,14
Z1171969599,14
Z1171974888,14
Z1171981347,14
Z1171981881,14
Z1171984463,14
Z1172141090,14
Z1172147833,14
Z1172189724,14
Z1172190010,14
Z1172190262,14
Z1172190315,14
Z1172191761,14
Z1172192391,14
Z1172197659,14
Z1172198848,14
Z1172199764,14
Z1172202155,14
Z1172205069,14
Z1172205129,14
Z1172205139,14
Z1172205361,14
Z1172206456,14
Z1172206476,14
Z1172208358,14
Z1172208818,14
Z1172208953,14
Z1172209294,14
Z1172211630,14
Z1172211848,14
Z1172217401,14
Z1172218412,14
Z1172222781,14
Z1172222792,14
Z1172224550,14
Z1172238122,14
Z1172276057,14
Z1172296141,14
Z1172305778,14
Z1172315262,14
Z1172346684,14
Z1172419800,14
Z1172447876,14
Z1172535461,14
Z117257314,14
Z1172764303,14
Z1172810957,14
Z1172900465,14
Z1172930483,14
Z1172961472,14
Z1172966454,14
Z1172973415,14
Z117301842,14
Z1173286081,14
Z1173295032,14
Z1173308903,14
Z1173351079,14
Z1173380151,14
Z1173455630,14
Z1173466710,14
Z1173474430,14
Z1173483836,14
Z1173488064,14
Z117355382,14
Z1173607675,14
Z1173713133,14
Z1173720007,14
Z1173727504,14
Z1173731975,14
Z1173732113,14
Z1173741546,14
Z1173750899,14
Z1173752947,14
Z1173762015,14
Z1173818033,14
Z1173820082,14
Z1173852587,14
Z1173873992,14
Z1173882234,14
Z1173889512,14
Z1173892589,14
Z1174091299,14
Z1174155327,14
Z1174156541,14
Z1174169457,14
Z1174175293,14
Z1174302405,14
Z1174306661,14
Z1174312956,14
Z1174366251,14
Z1174372248,14
Z1174373104,14
Z1174373118,14
Z1174373327,14
Z1174374024,14
Z1174374314,14
Z1174374329,14
Z1174374345,14
Z1174374368,14
Z1174374382,14
Z1174374600,14
Z1174374882,14
Z1174374948,14
Z1174375485,14
Z1174375758,14
Z1174376448,14
Z1174379483,14
Z1174386833,14
Z1174407481,14
Z1174437335,14
Z1174454856,14
Z1174534322,14
Z1174555867,14
Z1174588536,14
Z1174633906,14
Z1174750562,14
Z1174771824,14
Z1174784153,14
Z1174784456,14
Z1174785039,14
Z1174786629,14
Z1174786947,14
Z1174787059,14
Z1174787331,14
Z1174787696,14
Z1174790530,14
Z1174818822,14
Z1174937501,14
Z1175000042,14
Z117500258,14
Z1175073213,14
Z1175073433,14
Z1175178535,14
Z1175208433,14
Z1175225422,14
Z1175236182,14
Z1175289345,14
Z1175360882,14
Z1175361336,14
Z1175361855,14
Z1175362527,14
Z1175489216,14
Z1175489699,14
Z117561404,14
Z1175622769,14
Z1175624817,14
Z1175792621,14
Z1175798259,14
Z117579918,14
Z117594316,14
Z1175991772,14
Z1176195970,14
Z1176243230,14
Z1176256344,14
Z1176318662,14
Z1176344651,14
Z1176347467,14
Z1176349265,14
Z1176350533,14
Z1176351640,14
Z1176353061,14
Z1176378088,14
Z1176402135,14
Z1176412951,14
Z1176533441,14
Z1176534644,14
Z1176678973,14
Z117671422,14
Z1176724531,14
Z1176744017,14
Z1176778032,14
Z1176783951,14
Z1176787974,14
Z1176794514,14
Z1176797337,14
Z1176814544,14
Z1176817711,14
Z1176820160,14
Z1176835382,14
Z1176840637,14
Z1176842229,14
Z1176842269,14
Z1176847222,14
Z1176855710,14
Z1176872759,14
Z1176882253,14
Z1176885628,14
Z1176886116,14
Z1176890674,14
Z1176952602,14
Z1177020189,14
Z1177150478,14
Z1177220186,14
Z1177284984,14
Z1177620004,14
Z1177652899,14
Z1177652932,14
Z1177652980,14
Z1177682864,14
Z1177735299,14
Z1177771923,14
Z1178008252,14
Z1178011992,14
Z1178013363,14
Z1178013575,14
Z1178484476,14
Z1178484511,14
Z117860744,14
Z117937794,14
Z117954330,14
Z117961448,14
Z1179979215,14
Z1180060690,14
Z118013668,14
Z1181603004,14
Z1181634471,14
Z1181644449,14
Z1181645275,14
Z1181645350,14
Z1181645371,14
Z1181645512,14
Z1181645513,14
Z1181645599,14
Z1181645862,14
Z1181646420,14
Z1181649375,14
Z1181649450,14
Z1181652177,14
Z1181676850,14
Z1181698568,14
Z1181702097,14
Z1181702148,14
Z1181706062,14
Z1181706345,14
Z1181706643,14
Z1181720715,14
Z1181731556,14
Z1181734381,14
Z1181734409,14
Z1181734654,14
Z1181734682,14
Z1181735031,14
Z1181735114,14
Z1181736364,14
Z1181736883,14
Z1181737566,14
Z1181738071,14
Z1181752058,14
Z1182431705,14
Z1182475024,14
Z1182642268,14
Z1182653763,14
Z1182662718,14
Z1182663578,14
Z1182671152,14
Z1182671157,14
Z1182677022,14
Z1182684111,14
Z1182715444,14
Z1182715454,14
Z1182715559,14
Z1182715596,14
Z1183332244,14
Z118335004,14
Z1183350763,14
Z1183351866,14
Z1183352387,14
Z1183352628,14
Z1183353084,14
Z1183353489,14
Z1183354384,14
Z1183362730,14
Z1183468877,14
Z1183685009,14
Z1183867018,14
Z1183869074,14
Z1183869736,14
Z1184007943,14
Z1184008482,14
Z118434270,14
Z1184900314,14
Z1184939280,14
Z1184976342,14
Z118507066,14
Z1185130544,14
Z1185178763,14
Z1185197818,14
Z1185221378,14
Z1185221578,14
Z1185222784,14
Z1185225851,14
Z1185228658,14
Z1185228768,14
Z1185337572,14
Z1185346051,14
Z1185460799,14
Z1185462900,14
Z1185467888,14
Z1185478844,14
Z1185479680,14
Z1185508214,14
Z1185580770,14
Z1185707226,14
Z1185796496,14
Z1185812352,14
Z1185850906,14
Z1185853121,14
Z1185859706,14
Z1185860318,14
Z1185873529,14
Z1185879539,14
Z1185905977,14
Z1185919404,14
Z1185950952,14
Z1186020122,14
Z1186025357,14
Z1186025627,14
Z1186025647,14
Z1186030431,14
Z1186230207,14
Z1187028081,14
Z118704768,14
Z118728726,14
Z1187487281,14
Z1187505753,14
Z1187508587,14
Z1187508759,14
Z1187512273,14
Z1187532008,14
Z1187818771,14
Z1187851573,14
Z1187852577,14
Z1187857063,14
Z1187857920,14
Z1187857945,14
Z1187860880,14
Z1187860890,14
Z1187861004,14
Z1187861025,14
Z1187861038,14
Z1187861054,14
Z1187861061,14
Z1187861114,14
Z1187861277,14
Z1187861292,14
Z1187861348,14
Z1187861520,14
Z1187861530,14
Z1187863539,14
Z1187867255,14
Z1187867280,14
Z1187867490,14
Z1187882199,14
Z1187887086,14
Z1187920199,14
Z1187932089,14
Z1188001236,14
Z1188115130,14
Z1188140506,14
Z1188152862,14
Z1188152905,14
Z1188153749,14
Z118828330,14
Z1188334943,14
Z1188340468,14
Z1188449377,14
Z1188518606,14
Z1188518658,14
Z1188521627,14
Z1188582132,14
Z1188618180,14
Z1188682115,14
Z1188816209,14
Z1188817807,14
Z1188824215,14
Z1188843354,14
Z1188956252,14
Z1188959831,14
Z1188959845,14
Z1189025925,14
Z1189031038,14
Z1189033388,14
Z1189110238,14
Z1189172229,14
Z1189206530,14
Z1189916807,14
Z1189979574,14
Z1190093645,14
Z1190154401,14
Z1190155038,14
Z1190155070,14
Z1190158176,14
Z1190159267,14
Z1190159777,14
Z1190159984,14
Z1190161954,14
Z1190163189,14
Z1190166530,14
Z1190166772,14
Z1190167624,14
Z1190168210,14
Z1190168801,14
Z1190168956,14
Z1190169074,14
Z1190169120,14
Z1190169183,14
Z1190169312,14
Z1190324621,14
Z1190324960,14
Z1190325252,14
Z1190325323,14
Z1190326971,14
Z1190327246,14
Z1190327503,14
Z1190426879,14
Z1190459389,14
Z1190667553,14
Z1190680517,14
Z1190693328,14
Z1190693805,14
Z1190714834,14
Z1190715133,14
Z1190742036,14
Z1190782388,14
Z1190787004,14
Z1190800177,14
Z1190923253,14
Z1190941787,14
Z1190985418,14
Z1191000901,14
Z1191048880,14
Z1191089366,14
Z1191091261,14
Z1191092056,14
Z1191114841,14
Z1191143256,14
Z1191170135,14
Z1191250167,14
Z1191331219,14
Z1191333218,14
Z1191334556,14
Z1192049483,14
Z1192053871,14
Z1192056202,14
Z1192060518,14
Z1192064054,14
Z1192066734,14
Z1192088490,14
Z1192093664,14
Z1192104361,14
Z1192105160,14
Z1192143020,14
Z1192149766,14
Z1192149998,14
Z1192170892,14
Z1192175040,14
Z1192175561,14
Z1192180357,14
Z1192191408,14
Z1192320340,14
Z1192367617,14
Z1192379441,14
Z1192379445,14
Z1192393904,14
Z1192530889,14
Z1192919792,14
Z1192926323,14
Z1193087977,14
Z1193088003,14
Z119308820,14
Z1193088716,14
Z1193089672,14
Z1193090260,14
Z1193091069,14
Z1193091395,14
Z1193091644,14
Z1193093386,14
Z1193168159,14
Z1193169031,14
Z1193169849,14
Z1193170325,14
Z1193170432,14
Z1193172654,14
Z1193322692,14
Z1193351323,14
Z1193384521,14
Z1193384900,14
Z1193405073,14
Z1193407037,14
